Year,Length,Title,Director,title,year,length,budget,rating,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1979,122,Cuba,Lester	 Richard,Cuba,1979,122,NA,5.5,1,0,0,0,0,0,0
1929,84,Blackmail,Hitchcock	 Alfred,Blackmail,1929,84,NA,7,0,0,0,1,0,0,0
1963,109,Donovan's Reef,Ford	 John,Donovan's Reef,1963,109,2686585,6.5,1,0,1,0,0,1,0
1988,108,Miles from Home,Sinise	 Gary,Miles from Home,1988,108,NA,5.4,0,0,0,1,0,0,0
1954,103,Elephant Walk,,Elephant Walk,1954,103,NA,5.8,0,0,0,1,0,0,0
1986,107,Duet for One,Konchalovsky	 Andrei,Duet for One,1986,107,NA,5.8,0,0,0,1,0,0,0
1991,115,Flight of the Intruder,Milius	 John,Flight of the Intruder,1991,115,NA,5.2,1,0,0,0,0,0,0
1985,104,Desperately Seeking Susan,Seidelman	 Susan,Desperately Seeking Susan,1985,104,4500000,5.6,0,0,1,1,0,1,0
1959,91,Killers of Kilimanjaro,Thorpe	 Richard,Killers of Kilimanjaro,1959,91,NA,5.3,0,0,0,0,0,0,0
1974,128,Murder on the Orient Express,Lumet	 Sidney,Murder on the Orient Express,1974,128,NA,7.1,0,0,0,1,0,0,0
1955,115,Blood Alley,Wellman	 William,Blood Alley,1955,115,2000000,5.7,0,0,0,0,0,0,0
1982,120,Creepshow,Romero	 George A.,Creepshow,1982,120,8000000,6,0,0,1,0,0,0,0
1965,100,Dear Brigitte,Koster	 Henry,Dear Brigitte,1965,100,NA,5.7,0,0,1,0,0,0,0
1987,104,Lionheart,Schaffner	 Franklin J.,Lionheart,1987,104,NA,5.2,0,0,0,1,0,0,0
1989,126,Batman,Burton	 Tim,Batman,1989,126,35000000,7.4,1,0,0,0,0,0,0
1987,95,Blind Date,Edwards	 Blake,Blind Date,1987,95,NA,5.4,0,0,1,0,0,1,0
1982,101,Mother Lode,Heston	 Charlton,Mother Lode,1982,101,NA,5,0,0,0,0,0,0,0
1982,188,Gandhi,Attenborough	 Richard,Gandhi,1982,188,22000000,8,0,0,0,1,0,0,0
1944,114,Gaslight,Cukor	 George,Gaslight,1944,114,NA,7.6,0,0,0,1,0,0,0
1958,100,Indiscreet,Donen	 Stanley,Indiscreet,1958,100,NA,6.8,0,0,1,0,0,1,0
1946,101,Notorious,Hitchcock	 Alfred,Notorious,1946,101,2000000,8.3,0,0,0,0,0,1,0
1961,120,Goodbye Again,Litvak	 Anatole,Goodbye Again,1961,120,NA,6.3,0,0,0,1,0,1,0
1969,103,Cactus Flower,Saks	 Gene,Cactus Flower,1969,103,NA,6.8,0,0,1,0,0,0,0
1970,137,Airport,Seaton	 George,Airport,1970,137,10000000,6.4,0,0,0,1,0,0,0
1976,116,Burnt Offerings,Curtis	 Dan,Burnt Offerings,1976,116,NA,5.4,0,0,0,0,0,0,0
1969,94,Easy Rider,Hopper	 Dennis,Easy Rider,1969,94,340000,7.2,1,0,0,1,0,0,0
1964,112,Goldfinger,Hamilton	 Guy,Goldfinger,1964,112,3000000,7.8,1,0,0,0,0,0,0
1968,103,Charly,Nelson	 Ralph,Charly,1968,103,NA,7.2,0,0,0,1,0,0,0
1973,105,High Plains Drifter,Eastwood	 Clint,High Plains Drifter,1973,105,NA,7.4,0,0,0,1,0,0,0
1990,102,Nightbreed,Barker	 Clive,Nightbreed,1990,102,NA,5.7,0,0,0,0,0,0,0
1992,106,Medicine Man,McTiernan	 John,Medicine Man,1992,106,40000000,5.7,0,0,0,0,0,1,0
1986,101,Instant Justice,Rumar	 Craig,Instant Justice,1986,101,NA,4.2,1,0,0,1,0,0,0
1987,91,Firehouse,Ingvordsen	 J. Christian,Firehouse,1987,91,NA,2.8,0,0,0,0,0,0,0
1965,123,Morituri,Wicki	 Bernhard,Morituri,1965,123,NA,6.5,0,0,0,1,0,0,0
1988,120,Frantic,Polanski	 Roman,Frantic,1988,120,NA,6.6,0,0,0,0,0,0,0
1984,94,Best Defense,Huyck	 Willard,Best Defense,1984,94,NA,3.3,0,0,1,0,0,0,0
1984,99,Dreamscape,Ruben	 Joseph,Dreamscape,1984,99,NA,6.3,0,0,0,0,0,0,0
1989,125,Black Rain,Scott	 Ridley,Black Rain,1989,125,14000000,6.3,1,0,0,1,0,0,0
1931,68,Ambassador Bill,Taylor	 Sam,Ambassador Bill,1931,68,NA,5.8,0,0,1,0,0,0,0
1967,111,Hombre,Ritt	 Martin,Hombre,1967,111,NA,7.3,0,0,0,0,0,0,0
1980,91,It's My Turn,Weill	 Claudia,It's My Turn,1980,91,NA,5.4,0,0,1,1,0,0,0
1988,119,Dangerous Liaisons,Frears	 Stephen,Dangerous Liaisons,1988,119,14000000,7.6,0,0,0,1,0,1,0
1991,119,Meeting Venus,Szabó	 István,Meeting Venus,1991,119,NA,6.6,0,0,1,1,0,0,0
1989,120,Do the Right Thing,Lee	 Spike,Do the Right Thing,1989,120,6500000,7.7,0,0,1,1,0,0,0
1992,86,Hurricane Smith,Budds	 Colin,Hurricane Smith,1992,86,NA,4.1,1,0,0,1,0,0,0
1986,120,Jean de Florette,Berri	 Claude,Jean de Florette,1986,120,NA,8,0,0,0,1,0,0,0
1974,131,Chinatown,Polanski	 Roman,Chinatown,1974,131,6000000,8.4,0,0,0,1,0,0,0
1987,97,Barfly,Schroeder	 Barbet,Barfly,1987,97,NA,6.6,0,0,1,1,0,1,0
1947,118,Life with Father,Curtiz	 Michael,Life with Father,1947,118,NA,7.3,0,0,1,0,0,0,0
1945,91,Flame of Barbary Coast,Kane	 Joseph,Flame of Barbary Coast,1945,91,600000,5.5,0,0,0,0,0,0,0
1984,105,Beverly Hills Cop,Brest	 Martin,Beverly Hills Cop,1984,105,15000000,7.1,1,0,1,0,0,0,0
1987,94,Campus Man,Casden	 Ron,Campus Man,1987,94,NA,4.3,0,0,1,0,0,0,0
1981,116,Absence of Malice,Pollack	 Sydney,Absence of Malice,1981,116,NA,6.8,0,0,0,1,0,1,0
1979,110,Norma Rae,Ritt	 Martin,Norma Rae,1979,110,NA,7.3,0,0,0,1,0,0,0
1991,104,Hear My Song,Chelsom	 Peter,Hear My Song,1991,104,NA,7,0,0,1,0,0,0,0
1971,114,Klute,Pakula	 Alan J.,Klute,1971,114,NA,7,0,0,0,1,0,0,0
1965,97,Cat Ballou,Silverstein	 Elliot,Cat Ballou,1965,97,NA,6.9,0,0,1,0,0,0,0
1987,92,Back to the Beach,Hobbs	 Lyndall,Back to the Beach,1987,92,NA,4.8,0,0,1,0,0,0,0
1931,74,Inspiration,Brown	 Clarence,Inspiration,1931,74,438000,6,0,0,0,1,0,0,0
1932,112,Grand Hotel,Goulding	 Edmund,Grand Hotel,1932,112,700000,7.5,0,0,0,1,0,1,0
1953,120,Julius Caesar,Mankiewicz	 Joseph L.,Julius Caesar,1953,120,NA,7.5,0,0,0,1,0,0,0
1987,93,Hot Pursuit,Lisberger	 Steven,Hot Pursuit,1987,93,NA,5,0,0,1,0,0,0,0
1975,111,Brannigan,Hickox	 Douglas,Brannigan,1975,111,NA,5.7,1,0,0,1,0,0,0
1978,117,Bloodbrothers,Mulligan	 Robert,Bloodbrothers,1978,117,NA,5.1,0,0,0,1,0,0,0
1992,99,Memoirs of an Invisible Man,Carpenter	 John,Memoirs of an Invisible Man,1992,99,40000000,5.6,0,0,1,0,0,0,0
1982,117,Blade Runner,Scott	 Ridley,Blade Runner,1982,117,28000000,8.2,1,0,0,1,0,0,0
1989,89,After School,,After School,1989,89,NA,4,0,0,0,1,0,0,0
1972,109,Butterflies Are Free,Katselas	 Milton,Butterflies Are Free,1972,109,NA,6.7,0,0,1,1,0,1,0
1987,112,Overboard,Marshall	 Garry,Overboard,1987,112,NA,6.1,0,0,1,0,0,1,0
1952,98,Affair in Trinidad,Sherman	 Vincent,Affair in Trinidad,1952,98,NA,6.2,0,0,0,1,0,0,0
1946,110,Gilda,Vidor	 Charles,Gilda,1946,110,NA,7.6,0,0,0,1,0,0,0
1990,105,Dick Tracy,Beatty	 Warren,Dick Tracy,1990,105,47000000,5.7,1,0,1,0,0,0,0
1964,130,Marnie,Hitchcock	 Alfred,Marnie,1964,130,3000000,7.1,0,0,0,1,0,0,0
1987,85,Hot Child in the City,Florea	 John,Hot Child in the City,1987,85,NA,1.8,0,0,0,1,0,0,0
1984,90,Johnny Dangerously,Heckerling	 Amy,Johnny Dangerously,1984,90,NA,5.7,0,0,1,0,0,0,0
1964,170,My Fair Lady,Cukor	 George,My Fair Lady,1964,170,17000000,7.8,0,0,1,1,0,1,0
1967,108,Guess Who's Coming to Dinner,Kramer	 Stanley,Guess Who's Coming to Dinner,1967,108,4000000,7.5,0,0,1,1,0,1,0
1981,109,On Golden Pond,Rydell	 Mark,On Golden Pond,1981,109,NA,7.3,0,0,1,1,0,0,0
1992,95,Juice,Dickerson	 Ernest R.,Juice,1992,95,NA,6.3,1,0,0,1,0,0,0
1992,88,Adventures in Dinosaur City,Thompson	 Brett,Adventures in Dinosaur City,1992,88,NA,3.3,0,0,0,0,0,0,0
1950,104,Harvey,Koster	 Henry,Harvey,1950,104,NA,8.1,0,0,1,0,0,0,0
1987,112,Gardens of Stone,Coppola	 Francis Ford,Gardens of Stone,1987,112,NA,6.5,0,0,0,1,0,1,0
1991,108,Necessary Roughness,Dragoti	 Stan,Necessary Roughness,1991,108,NA,5.5,0,0,1,0,0,0,0
1988,97,Crossing Delancey,Silver	 Joan Micklin,Crossing Delancey,1988,97,NA,6.6,0,0,1,0,0,1,0
1990,108,Flashback,Amurri	 Franco,Flashback,1990,108,NA,5.7,1,0,1,1,0,0,0
1955,67,Killer's Kiss,Kubrick	 Stanley,Killer's Kiss,1955,67,75000,6.6,0,0,0,1,0,0,0
1983,97,Breathless,McBride	 Jim,Breathless,1983,97,NA,5.3,1,0,0,1,0,1,0
1989,145,Born on the Fourth of July,Stone	 Oliver,Born on the Fourth of July,1989,145,14000000,7,0,0,0,1,0,0,0
1979,96,Manhattan,Allen	 Woody,Manhattan,1979,96,NA,8.2,0,0,1,1,0,1,0
1977,143,Black Sunday,Frankenheimer	 John,Black Sunday,1977,143,NA,6.6,1,0,0,1,0,0,0
1977,124,Bobby Deerfield,Pollack	 Sydney,Bobby Deerfield,1977,124,NA,4.9,0,0,0,1,0,1,0
1972,98,Last of the Red Hot Lovers,Saks	 Gene,Last of the Red Hot Lovers,1972,98,NA,5,0,0,1,0,0,0,0
1989,96,Dead Calm,Noyce	 Phillip,Dead Calm,1989,96,NA,6.9,0,0,0,0,0,0,0
1990,107,Days of Thunder,Scott	 Tony,Days of Thunder,1990,107,60000000,5.4,1,0,0,1,0,1,0
1989,104,Erik the Viking,Jones	 Terry,Erik the Viking,1989,104,NA,5.7,0,0,1,0,0,0,0
1986,98,Crocodile Dundee,Faiman	 Peter,Crocodile Dundee,1986,98,NA,6.4,0,0,1,0,0,0,0
1989,86,Dracula's Widow,Coppola	 Christopher,Dracula's Widow,1989,86,NA,2.6,0,0,0,0,0,0,0
1978,114,Go Tell the Spartans,Post	 Ted,Go Tell the Spartans,1978,114,NA,6.7,0,0,0,0,0,0,0
1990,115,Men Don't Leave,Brickman	 Paul,Men Don't Leave,1990,115,NA,6.5,0,0,0,1,0,0,0
1980,116,Bronco Billy,Eastwood	 Clint,Bronco Billy,1980,116,NA,5.8,0,0,1,1,0,1,0
1959,88,Carlton-Browne of the F.O.,Boulting	 Roy,Carlton-Browne of the F.O.,1959,88,NA,5.9,0,0,1,0,0,0,0
1941,95,Mr. & Mrs. Smith,Hitchcock	 Alfred,Mr. & Mrs. Smith,1941,95,NA,6.5,0,0,1,0,0,1,0
1957,109,Legend of the Lost,Hathaway	 Henry,Legend of the Lost,1957,109,1750000,4.8,0,0,0,0,0,0,0
1990,107,Green Card,Weir	 Peter,Green Card,1990,107,NA,6,0,0,1,1,0,1,0
1939,85,Back Door to Heaven,Howard	 William K.,Back Door to Heaven,1939,85,NA,7,0,0,0,1,0,0,0
1988,83,Hot to Trot,Dinner	 Michael,Hot to Trot,1988,83,NA,3.7,0,0,1,0,0,0,0
1986,103,Fire with Fire,Gibbins	 Duncan,Fire with Fire,1986,103,NA,5.7,0,0,0,1,0,1,0
1988,85,Casablanca Express,Martino	 Sergio,Casablanca Express,1988,85,NA,3.2,1,0,0,0,0,0,0
1986,130,Heartbreak Ridge,Eastwood	 Clint,Heartbreak Ridge,1986,130,NA,6.2,1,0,1,1,0,0,0
1986,119,Children of a Lesser God,Haines	 Randa,Children of a Lesser God,1986,119,NA,7,0,0,0,1,0,0,0
1991,206,JFK,Stone	 Oliver,JFK,1991,206,40000000,7.8,0,0,0,1,0,0,0
1991,97,New Jack City,Van Peebles	 Mario,New Jack City,1991,97,8500000,6.1,1,0,0,1,0,0,0
1981,97,Arthur,Gordon	 Steve,Arthur,1981,97,7000000,6.6,0,0,1,0,0,1,0
1953,95,How to Marry a Millionaire,Negulesco	 Jean,How to Marry a Millionaire,1953,95,NA,6.8,0,0,1,0,0,1,0
1991,94,Nothing But Trouble,Aykroyd	 Dan,Nothing But Trouble,1991,94,40000000,3.7,0,0,1,0,0,0,0
1984,102,No Small Affair,Schatzberg	 Jerry,No Small Affair,1984,102,NA,5.1,0,0,1,0,0,1,0
1987,86,House of the Rising Sun,Gold	 Greg,House of the Rising Sun,1987,86,NA,5.3,0,0,0,1,0,0,0
1963,112,Hud,Ritt	 Martin,Hud,1963,112,2500000,7.9,1,0,0,1,0,0,0
1951,111,Operation Pacific,,Operation Pacific,1951,111,NA,6.1,0,0,0,1,0,0,0
1946,93,Crack-Up,Reis	 Irving,Crack-Up,1946,93,NA,6.6,0,0,0,1,0,0,0
1971,110,Big Jake,Sherman	 George,Big Jake,1971,110,NA,6.6,1,0,0,0,0,0,0
1952,90,Big Jim McLain,Ludwig	 Edward,Big Jim McLain,1952,90,826000,4.3,1,0,0,1,0,1,0
1985,121,Ladyhawke,Donner	 Richard,Ladyhawke,1985,121,20000000,6.8,0,0,0,0,0,1,0
1985,115,Into the Night,Landis	 John,Into the Night,1985,115,NA,6.3,1,0,1,1,0,0,0
1988,360,Little Dorrit,Edzard	 Christine,Little Dorrit,1988,360,NA,7.4,0,0,0,1,0,0,0
1962,123,Experiment in Terror,Edwards	 Blake,Experiment in Terror,1962,123,NA,7.2,0,0,0,0,0,0,0
1970,100,Adam at 6 A.M.,Scheerer	 Robert,Adam at 6 A.M.,1970,100,NA,5.8,0,0,0,1,0,0,0
1990,97,Cadillac Man,Donaldson	 Roger,Cadillac Man,1990,97,NA,5.3,0,0,1,0,0,0,0
1986,111,Gung Ho,Howard	 Ron,Gung Ho,1986,111,NA,5.8,0,0,1,1,0,0,0
1968,121,Hellfighters,McLaglen	 Andrew V.,Hellfighters,1968,121,NA,6,1,0,0,0,0,0,0
1986,120,Blue Velvet,Lynch	 David,Blue Velvet,1986,120,6000000,7.7,0,0,0,1,0,0,0
1990,109,Impulse,Locke	 Sondra,Impulse,1990,109,NA,5.6,0,0,0,0,0,0,0
1987,120,Innerspace,Dante	 Joe,Innerspace,1987,120,NA,6.4,1,0,1,0,0,0,0
1990,102,Joe Versus the Volcano,Patrick	 John,Joe Versus the Volcano,1990,102,NA,5.3,0,0,1,1,0,1,0
1972,99,Cancel My Reservation,Bogart	 Paul,Cancel My Reservation,1972,99,NA,3.6,0,0,1,0,0,0,0
1966,102,Johnny Tiger,Wendkos	 Paul,Johnny Tiger,1966,102,NA,5.2,0,0,0,1,0,0,0
1986,83,Blue City,Manning	 Michelle,Blue City,1986,83,NA,4.2,0,0,0,0,0,0,0
1983,123,Bad Boys,Rosenthal	 Rick,Bad Boys,1983,123,NA,6.7,0,0,0,1,0,0,0
1988,116,Coming to America,Landis	 John,Coming to America,1988,116,28000000,6.6,0,0,1,0,0,1,0
1988,101,Funny Farm,Hill	 George Roy,Funny Farm,1988,101,NA,5.4,0,0,1,0,0,0,0
1978,103,California Suite,Ross	 Herbert,California Suite,1978,103,NA,6,0,0,1,1,0,0,0
1986,97,Maximum Overdrive,King	 Stephen,Maximum Overdrive,1986,97,10000000,4.3,0,0,0,0,0,0,0
1982,122,Missing,Costa-Gavras,Missing,1982,122,NA,7.6,0,0,0,1,0,0,0
1985,117,Cocoon,Howard	 Ron,Cocoon,1985,117,NA,6.6,0,0,1,1,0,0,0
1986,96,Clockwise,Morahan	 Christopher,Clockwise,1986,96,NA,6.5,0,0,1,0,0,0,0
1991,112,Defending Your Life,Brooks	 Albert,Defending Your Life,1991,112,NA,7,0,0,1,0,0,1,0
1984,106,Falling in Love,Grosbard	 Ulu,Falling in Love,1984,106,NA,5.9,0,0,0,1,0,1,0
1986,108,Heartburn,Nichols	 Mike,Heartburn,1986,108,NA,5.6,0,0,1,1,0,1,0
1970,129,On a Clear Day You Can See Forever,Minnelli	 Vincente,On a Clear Day You Can See Forever,1970,129,10000000,5.8,0,0,1,0,0,1,0
1970,140,Dodesukaden,Kurosawa	 Akira,Dodesukaden,1970,140,NA,7.3,0,0,0,1,0,0,0
1989,99,Driving Miss Daisy,Beresford	 Bruce,Driving Miss Daisy,1989,99,7500000,7.4,0,0,1,1,0,0,0
1956,201,Giant,Stevens	 George,Giant,1956,201,5400000,7.5,0,0,0,1,0,0,0
1972,108,Hammersmith Is Out,,Hammersmith Is Out,1972,108,NA,4.7,0,0,1,1,0,0,0
1973,99,Ash Wednesday,,Ash Wednesday,1973,99,NA,3.5,0,0,0,1,0,0,0
1988,85,Doin' Time on Planet Earth,Matthau	 Charles,Doin' Time on Planet Earth,1988,85,NA,4.6,0,0,1,0,0,0,0
1983,91,All the Right Moves,Chapman	 Michael,All the Right Moves,1983,91,NA,5.7,0,0,0,1,0,1,0
1990,110,Border Shootout,,Border Shootout,1990,110,NA,3.4,0,0,0,0,0,0,0
1991,104,Doc Hollywood,Caton-Jones	 Michael,Doc Hollywood,1991,104,NA,5.8,0,0,1,0,0,1,0
1973,96,Bang the Drum Slowly,Hancock	 John D.,Bang the Drum Slowly,1973,96,NA,7,0,0,0,1,0,0,0
1972,92,Fuzz,Colla	 Richard A.,Fuzz,1972,92,NA,5.3,0,0,1,1,0,0,0
1968,106,Bandolero!,McLaglen	 Andrew V.,Bandolero!,1968,106,NA,6.3,0,0,0,0,0,0,0
1988,161,Bird,Eastwood	 Clint,Bird,1988,161,9000000,7.1,0,0,0,1,0,0,0
1989,107,Major League,Ward	 David S.,Major League,1989,107,11000000,6.7,0,0,1,0,0,0,0
1986,116,Legal Eagles,Reitman	 Ivan,Legal Eagles,1986,116,35000000,5.6,0,0,1,0,0,1,0
1970,90,Bloody Mama,Corman	 Roger,Bloody Mama,1970,90,NA,4.7,0,0,0,1,0,0,0
1985,94,My Science Project,Betnel	 Jonathan,My Science Project,1985,94,NA,5.1,0,0,1,0,0,0,0
1947,103,Magic Town,Wellman	 William,Magic Town,1947,103,NA,6.4,0,0,1,0,0,0,0
1949,90,Lust for Gold,Simon	 S. Sylvan,Lust for Gold,1949,90,NA,7.3,0,0,0,0,0,0,0
1954,91,Apache,Aldrich	 Robert,Apache,1954,91,NA,6.3,0,0,0,0,0,0,0
1988,92,Bloodsport,Arnold	 Newt,Bloodsport,1988,92,NA,5.8,1,0,0,0,0,0,0
1936,87,Modern Times,Chaplin	 Charles,Modern Times,1936,87,1500000,8.5,0,0,1,0,0,0,0
1982,136,Firefox,Eastwood	 Clint,Firefox,1982,136,21000000,5.5,1,0,0,0,0,0,0
1960,122,North to Alaska,Hathaway	 Henry,North to Alaska,1960,122,3500000,6.7,0,0,1,0,0,0,0
1953,95,I Confess,Hitchcock	 Alfred,I Confess,1953,95,NA,7,0,0,0,1,0,0,0
1986,107,Down by Law,Jarmusch	 Jim,Down by Law,1986,107,1100000,7.6,0,0,1,1,0,0,0
1945,82,Dakota,Kane	 Joseph,Dakota,1945,82,NA,5,0,0,0,0,0,0,0
1974,109,Juggernaut,Lester	 Richard,Juggernaut,1974,109,NA,6.3,1,0,0,0,0,0,0
1945,94,Blood on the Sun,Lloyd	 Frank,Blood on the Sun,1945,94,NA,6.2,1,0,0,1,0,1,0
1970,111,Chisum,McLaglen	 Andrew V.,Chisum,1970,111,NA,6.4,0,0,0,0,0,0,0
1973,91,Executive Action,Miller	 David,Executive Action,1973,91,NA,6,0,0,0,1,0,0,0
1972,116,Jeremiah Johnson,Pollack	 Sydney,Jeremiah Johnson,1972,116,NA,7.3,0,0,0,0,0,0,0
1989,86,Cyborg,Pyun	 Albert,Cyborg,1989,86,2000000,3.8,1,0,0,0,0,0,0
1951,102,Flying Leathernecks,Ray	 Nicholas,Flying Leathernecks,1951,102,NA,6.1,1,0,0,1,0,0,0
1987,86,Disorderlies,Schultz	 Michael,Disorderlies,1987,86,NA,3.7,0,0,1,0,0,0,0
1938,55,Overland Stage Raiders,Sherman	 George,Overland Stage Raiders,1938,55,NA,4.1,0,0,0,0,0,0,0
1938,55,Pals of the Saddle,Sherman	 George,Pals of the Saddle,1938,55,NA,4.4,0,0,0,0,0,0,0
1982,92,Alone in the Dark,Sholder	 Jack,Alone in the Dark,1982,92,NA,5.2,0,0,0,0,0,0,0
1979,112,Escape from Alcatraz,Siegel	 Don,Escape from Alcatraz,1979,112,NA,7.3,0,0,0,1,0,0,0
1976,132,Midway,Smight	 Jack,Midway,1976,132,NA,6.5,1,0,0,1,0,0,0
1938,96,Boys Town,Taurog	 Norman,Boys Town,1938,96,NA,7.2,0,0,0,1,0,0,0
1953,79,Appointment in Honduras,Tourneur	 Jacques,Appointment in Honduras,1953,79,NA,5.3,0,0,0,0,0,0,0
1987,95,Hearts of Fire,,Hearts of Fire,1987,95,17000000,3.3,0,0,0,1,0,0,0
1967,105,Chuka,,Chuka,1967,105,NA,5.8,0,0,0,0,0,0,0
1965,165,In Harm's Way,,In Harm's Way,1965,165,NA,7,0,0,0,1,0,0,0
